,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,90.42692184448242,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,92.39835739135742,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,92.29841232299805,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2

,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,9,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,running,status,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2

,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,10,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,0,swap_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,11,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,0,swap_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
