_time,url,uuid,vm_id,vm_name,scaph_process_cpu_usage_percentage,scaph_process_disk_read_bytes,scaph_process_disk_total_read_bytes,scaph_process_disk_total_write_bytes,scaph_process_disk_write_bytes,scaph_process_memory_bytes,scaph_process_memory_virtual_bytes,scaph_process_power_consumption_microwatts
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.7078137,0.0,82741536697.0,415019507712.0,3158016.0,34028871680.0,40045907968.0,4645203.005709315
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.174447,0.0,112275892151.0,1690252038144.0,11038720.0,4350345216.0,10437226496.0,2890830.720833301
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,4.9013095,0.0,85044025273.0,911888576512.0,59834368.0,34266873856.0,40054206464.0,3394187.50416358
2025-08-04 06:14:02+00:00,http://flux-node3.av.it.pt:8080/metrics,d73e81c0-f052-4b31-9811-0fe16434f778,306,neuronet-k8s-lb,0.07691212,0.0,2705370612.0,27448709120.0,102400.0,2143334400.0,7488114688.0,55841.75167966112
2025-08-04 06:14:02+00:00,http://flux-node3.av.it.pt:8080/metrics,a70cec07-8f49-4109-90fe-0262d766bb7b,185,neuronet-lb,0.062669136,0.0,14706027984.0,108416589824.0,16384.0,2157367296.0,7440830464.0,45500.68715484969
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,2.018297,0.0,5474020938.0,74108530688.0,778240.0,4294053888.0,9603227648.0,1397683.2772725248
2025-08-04 06:17:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.7130198,0.0,1681846346.0,97606533120.0,757760.0,33949200384.0,39684583424.0,2283011.29550909
2025-08-04 06:17:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,4.9114065,0.0,7580810492.0,1248478326784.0,8536064.0,4241072128.0,9236901888.0,3019859.040518303
2025-08-04 06:18:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.849135,0.0,1681846346.0,97608482816.0,831488.0,33949200384.0,39684583424.0,2398006.2450045347
2025-08-04 06:18:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,5.009332,0.0,7580810492.0,1248491085824.0,8503296.0,4241072128.0,9236901888.0,3120807.6864892244
